frame_index,pose_visible,keypoints_flat,center_x,center_y
0,True,"[0.5406790375709534, 0.5481100678443909, -0.529550313949585, 0.9999792575836182, 0.5527641177177429, 0.5044459104537964, -0.48853403329849243, 0.9999409914016724, 0.5631340742111206, 0.5035164952278137, -0.4890621304512024, 0.99993896484375, 0.5715076923370361, 0.5027025938034058, -0.48903679847717285, 0.999932050704956, 0.521663248538971, 0.5046384930610657, -0.5013317465782166, 0.9999711513519287, 0.5094925165176392, 0.5051015615463257, -0.5019271969795227, 0.9999812841415405, 0.4983711838722229, 0.5055304169654846, -0.5022897124290466, 0.9999790191650391, 0.570749044418335, 0.5097619891166687, -0.22422054409980774, 0.9999681711196899, 0.4702044129371643, 0.5144652724266052, -0.2851739525794983, 0.9999659061431885, 0.5571720004081726, 0.5874318480491638, -0.42007189989089966, 0.9999234676361084, 0.5169867873191833, 0.5884139537811279, -0.44186869263648987, 0.99993896484375, 0.635875403881073, 0.6779161095619202, -0.07767011970281601, 0.99973064661026, 0.37129175662994385, 0.7048906683921814, -0.1484951227903366, 0.9994694590568542, 0.6875165104866028, 0.9331271648406982, 0.010974586941301823, 0.47218167781829834, 0.2967050075531006, 0.946044385433197, -0.417685329914093, 0.4701484143733978, 0.7077555656433105, 1.1765251159667969, -0.08819708228111267, 0.13689452409744263, 0.3276958465576172, 0.9755426645278931, -0.8829218149185181, 0.6293994188308716, 0.7297089099884033, 1.239383339881897, -0.11836183071136475, 0.17550483345985413, 0.33849120140075684, 0.9867717027664185, -0.9896032214164734, 0.7286180853843689, 0.7090889811515808, 1.2279130220413208, -0.1701733022928238, 0.23637989163398743, 0.36253631114959717, 0.9397104978561401, -1.0008124113082886, 0.7913636565208435, 0.693798840045929, 1.2088462114334106, -0.10797041654586792, 0.24165724217891693, 0.3663090467453003, 0.9329222440719604, -0.9005159139633179, 0.7477814555168152, 0.5821298956871033, 1.1590851545333862, 0.034429896622896194, 0.06306057423353195, 0.41108161211013794, 1.164470911026001, -0.034726474434137344, 0.07016682624816895, 0.604945719242096, 1.572034239768982, -0.06312843412160873, 0.0020140891429036856, 0.42588454484939575, 1.5595577955245972, -0.403494268655777, 0.005909421481192112, 0.5888932943344116, 1.9138693809509277, 0.1798512190580368, 0.0008317215833812952, 0.429889053106308, 1.9178659915924072, -0.0547550693154335, 0.001984767382964492, 0.5910158157348633, 1.9713737964630127, 0.19063079357147217, 0.001961605390533805, 0.42532801628112793, 1.9732205867767334, -0.02602255716919899, 0.0026045164559036493, 0.5579308867454529, 2.000706195831299, -0.04662812873721123, 0.001263495534658432, 0.4691287577152252, 2.010261058807373, -0.24933461844921112, 0.0019150967709720135]",0.4966057538986206,1.1617780327796936
1,True,"[0.535772442817688, 0.5499218106269836, -0.5241354703903198, 0.9999775290489197, 0.5467221140861511, 0.5107589364051819, -0.47961944341659546, 0.9999316334724426, 0.5555774569511414, 0.510235607624054, -0.48016157746315, 0.9999309778213501, 0.563470184803009, 0.509628176689148, -0.48010334372520447, 0.9999176859855652, 0.5187159776687622, 0.510080873966217, -0.48920145630836487, 0.9999679923057556, 0.5065604448318481, 0.5105354189872742, -0.48979663848876953, 0.9999802112579346, 0.49515190720558167, 0.510854184627533, -0.4901796877384186, 0.999977171421051, 0.5601825714111328, 0.51744544506073, -0.19938665628433228, 0.9999603033065796, 0.4681132733821869, 0.5209038257598877, -0.24280722439289093, 0.9999633431434631, 0.5504459738731384, 0.5874406695365906, -0.4102291464805603, 0.9999043941497803, 0.511884331703186, 0.5888215899467468, -0.4277549684047699, 0.999928891658783, 0.6303807497024536, 0.6779084801673889, -0.0415009930729866, 0.9996428489685059, 0.37535759806632996, 0.7064794301986694, -0.10187523066997528, 0.9994490146636963, 0.6874803900718689, 0.9190136194229126, -0.013528930023312569, 0.4754699468612671, 0.3038512170314789, 0.946325421333313, -0.41111859679222107, 0.48781630396842957, 0.7086092829704285, 1.0793640613555908, -0.23644161224365234, 0.15614433586597443, 0.32911762595176697, 0.9628416895866394, -0.9836920499801636, 0.6631142497062683, 0.7318689227104187, 1.1705728769302368, -0.2874346375465393, 0.20662234723567963, 0.33356189727783203, 0.9706143140792847, -1.1157348155975342, 0.7540398836135864, 0.7110967040061951, 1.1567096710205078, -0.3468203544616699, 0.2714424729347229, 0.356652170419693, 0.9219146370887756, -1.1327979564666748, 0.8109951615333557, 0.695919394493103, 1.1438937187194824, -0.2624695599079132, 0.2749480903148651, 0.3646320700645447, 0.9190389513969421, -1.0068577527999878, 0.7712125182151794, 0.5842686891555786, 1.1575820446014404, 0.029701178893446922, 0.0640922412276268, 0.41935640573501587, 1.1641654968261719, -0.03004755638539791, 0.07274698466062546, 0.6088215708732605, 1.5532678365707397, -0.20385178923606873, 0.002366606378927827, 0.43852752447128296, 1.5592023134231567, -0.47893351316452026, 0.0063580116257071495, 0.5992194414138794, 1.926698923110962, -0.11279743909835815, 0.0010105761466547847, 0.4434625506401062, 1.9347691535949707, -0.28935638070106506, 0.0021923310123384, 0.6040377020835876, 1.9922527074813843, -0.12186215817928314, 0.0022809342481195927, 0.44262200593948364, 1.9979809522628784, -0.2817625403404236, 0.0028805239126086235, 0.563765287399292, 2.0150198936462402, -0.41334477066993713, 0.0016161982202902436, 0.474191278219223, 2.0207748413085938, -0.5592826008796692, 0.0021524059120565653]",0.5018125474452972,1.1608737707138062
2,True,"[0.533570408821106, 0.5515711307525635, -0.4532638192176819, 0.999976396560669, 0.5433291792869568, 0.51432204246521, -0.4060000479221344, 0.999926745891571, 0.551472544670105, 0.5138527154922485, -0.4065108299255371, 0.9999269843101501, 0.5588446855545044, 0.5134034752845764, -0.4064455032348633, 0.9999114274978638, 0.5169404149055481, 0.5138542652130127, -0.4171460270881653, 0.9999657273292542, 0.5049148201942444, 0.5145646929740906, -0.41771960258483887, 0.9999792575836182, 0.4936615526676178, 0.5150482654571533, -0.41805142164230347, 0.9999755620956421, 0.5534314513206482, 0.5218804478645325, -0.131827712059021, 0.9999565482139587, 0.4672899842262268, 0.5253291726112366, -0.18365253508090973, 0.9999602437019348, 0.5471071600914001, 0.5874733328819275, -0.3422846794128418, 0.9998972415924072, 0.51036137342453, 0.5892273783683777, -0.3616082966327667, 0.9999237060546875, 0.6247426867485046, 0.6769812107086182, 0.014835283160209656, 0.9996294975280762, 0.38130950927734375, 0.7086579203605652, -0.0660848468542099, 0.9994394779205322, 0.6872245073318481, 0.9054931402206421, 0.002783762291073799, 0.48300108313560486, 0.3091179430484772, 0.9457908272743225, -0.4023568034172058, 0.49648982286453247, 0.7101375460624695, 1.0476772785186768, -0.22078685462474823, 0.18329434096813202, 0.32945412397384644, 0.9580433964729309, -0.984049916267395, 0.6879875659942627, 0.7354518175125122, 1.1488990783691406, -0.2712320387363434, 0.24205859005451202, 0.32973095774650574, 0.9620410799980164, -1.1139981746673584, 0.7736915946006775, 0.7144708037376404, 1.137500524520874, -0.3310696482658386, 0.31019502878189087, 0.3524366319179535, 0.9181039929389954, -1.1308482885360718, 0.8263375759124756, 0.6992815136909485, 1.125982642173767, -0.2474268674850464, 0.3114701211452484, 0.35857677459716797, 0.9171316623687744, -1.007511854171753, 0.7892665863037109, 0.5864644050598145, 1.1537500619888306, 0.030685946345329285, 0.06271938234567642, 0.428372859954834, 1.1629973649978638, -0.03107392229139805, 0.07098182290792465, 0.6094857454299927, 1.5483181476593018, -0.2164696753025055, 0.002466024598106742, 0.4459773898124695, 1.5588431358337402, -0.4897424578666687, 0.0063911727629601955, 0.6042393445968628, 1.9292446374893188, -0.1537744104862213, 0.001115236198529601, 0.44755473732948303, 1.9348715543746948, -0.2982502281665802, 0.0022667446173727512, 0.6096700429916382, 1.9956138134002686, -0.16580435633659363, 0.002440815092995763, 0.44616395235061646, 1.9975149631500244, -0.29047876596450806, 0.002957720775157213, 0.5712462663650513, 2.0145936012268066, -0.4612354338169098, 0.0017936620861291885, 0.4777269959449768, 2.020407199859619, -0.5615262389183044, 0.0022337911650538445]",0.5074186325073242,1.1583737134933472
3,True,"[0.5295661687850952, 0.553030252456665, -0.454873263835907, 0.9999750256538391, 0.5394710302352905, 0.517998993396759, -0.4157252907752991, 0.999921441078186, 0.5474140048027039, 0.5177480578422546, -0.4162262976169586, 0.9999223351478577, 0.5543831586837769, 0.5176708102226257, -0.41617196798324585, 0.9999054074287415, 0.5142614245414734, 0.5172097086906433, -0.4245227873325348, 0.9999631643295288, 0.503007173538208, 0.5178147554397583, -0.4251224100589752, 0.9999779462814331, 0.4922262132167816, 0.5182932615280151, -0.42546215653419495, 0.9999739527702332, 0.5491024255752563, 0.525695264339447, -0.1584903597831726, 0.9999527335166931, 0.46722427010536194, 0.5278811454772949, -0.21057841181755066, 0.9999571442604065, 0.5420544743537903, 0.5874201059341431, -0.3542267978191376, 0.9998934268951416, 0.5071310997009277, 0.5895320177078247, -0.3704788088798523, 0.9999209046363831, 0.6208044290542603, 0.6725829243659973, 0.002324381610378623, 0.9996342062950134, 0.38862141966819763, 0.7085109949111938, -0.08765353262424469, 0.9994590878486633, 0.6867760419845581, 0.8944908380508423, -0.044302571564912796, 0.49094635248184204, 0.314270555973053, 0.937856912612915, -0.4031949043273926, 0.5060362815856934, 0.712837278842926, 1.0319867134094238, -0.25520968437194824, 0.20446714758872986, 0.3315660059452057, 0.9517450332641602, -0.9582201838493347, 0.7091788649559021, 0.7443103790283203, 1.1294426918029785, -0.30388644337654114, 0.26928308606147766, 0.33126112818717957, 0.9573813080787659, -1.0793225765228271, 0.7901185750961304, 0.7239559292793274, 1.1217334270477295, -0.362800657749176, 0.3409365713596344, 0.3528715968132019, 0.916538655757904, -1.0949628353118896, 0.8392440676689148, 0.7083967924118042, 1.111476182937622, -0.2811731696128845, 0.3402804136276245, 0.35832446813583374, 0.9154708981513977, -0.9798954725265503, 0.8043695688247681, 0.5912827253341675, 1.1414138078689575, 0.02721535786986351, 0.06140821799635887, 0.4418793320655823, 1.1523263454437256, -0.02767215296626091, 0.06968629360198975, 0.6116584539413452, 1.542016863822937, -0.20304973423480988, 0.002452689688652754, 0.4571107029914856, 1.5452731847763062, -0.4168650507926941, 0.006181459873914719, 0.6110115051269531, 1.9188607931137085, -0.14745955169200897, 0.0011711445404216647, 0.4584380090236664, 1.9215160608291626, -0.21050982177257538, 0.002269192598760128, 0.617446780204773, 1.9829013347625732, -0.15876343846321106, 0.002521117916330695, 0.45718955993652344, 1.9823240041732788, -0.19147714972496033, 0.002955472096800804, 0.582068145275116, 1.9990688562393188, -0.43573999404907227, 0.0018841985147446394, 0.48578882217407227, 2.0051772594451904, -0.44017356634140015, 0.0022367797791957855]",0.5165810286998749,1.1468700766563416
4,True,"[0.5201072692871094, 0.5531314611434937, -0.3905509114265442, 0.9999759197235107, 0.5335516333580017, 0.5181254744529724, -0.34792107343673706, 0.9999235272407532, 0.5426625609397888, 0.5179480314254761, -0.34833449125289917, 0.9999245405197144, 0.5502462387084961, 0.5180421471595764, -0.3482283353805542, 0.9999072551727295, 0.506138265132904, 0.5180341601371765, -0.3523339629173279, 0.9999643564224243, 0.4953755736351013, 0.5187181830406189, -0.35288846492767334, 0.99997878074646, 0.4855338931083679, 0.5191115736961365, -0.35315990447998047, 0.99997478723526, 0.5480080842971802, 0.5261997580528259, -0.10049152374267578, 0.9999529123306274, 0.4654758870601654, 0.5280916094779968, -0.12164108455181122, 0.9999586343765259, 0.5365004539489746, 0.5869487524032593, -0.2914026379585266, 0.9998971223831177, 0.49972862005233765, 0.5895359516143799, -0.30131787061691284, 0.9999241232872009, 0.6183884143829346, 0.6682554483413696, 0.020648090168833733, 0.9996498823165894, 0.3912464380264282, 0.7082839608192444, -0.026234343647956848, 0.9994996190071106, 0.6866856217384338, 0.8852969408035278, -0.06886541098356247, 0.4961305558681488, 0.31415891647338867, 0.926642119884491, -0.35245001316070557, 0.5171802639961243, 0.7153069972991943, 1.008241891860962, -0.3732261061668396, 0.23761114478111267, 0.33214807510375977, 0.9484660625457764, -0.9389535188674927, 0.7346519231796265, 0.7563707828521729, 1.0785616636276245, -0.43965449929237366, 0.3108462989330292, 0.3314618170261383, 0.9591841101646423, -1.0771688222885132, 0.8090523481369019, 0.7317061424255371, 1.0655955076217651, -0.4930027425289154, 0.38418322801589966, 0.3524318039417267, 0.9145675301551819, -1.0860354900360107, 0.8538615107536316, 0.7130358219146729, 1.019783854484558, -0.40011945366859436, 0.3817567229270935, 0.3574884831905365, 0.9145271182060242, -0.9663877487182617, 0.8219156265258789, 0.6029723882675171, 1.1254016160964966, 0.023255422711372375, 0.059181153774261475, 0.450171560049057, 1.1376960277557373, -0.023746144026517868, 0.06783884763717651, 0.6203763484954834, 1.5292375087738037, -0.2334163635969162, 0.002287644660100341, 0.46542835235595703, 1.530881643295288, -0.4325965344905853, 0.005756767001003027, 0.6232650279998779, 1.9051077365875244, -0.20951111614704132, 0.0011535511584952474, 0.47302013635635376, 1.9120246171951294, -0.23850366473197937, 0.002165895886719227, 0.6322289109230042, 1.9679876565933228, -0.22477252781391144, 0.0025148310232907534, 0.4739968180656433, 1.9730833768844604, -0.22801050543785095, 0.0028649182058870792, 0.5889421701431274, 1.988329291343689, -0.5126959085464478, 0.0018850903725251555, 0.49751800298690796, 1.9994298219680786, -0.4738878607749939, 0.002154725370928645]",0.526571974158287,1.131548821926117
5,True,"[0.5213710069656372, 0.5517222285270691, -0.4225543141365051, 0.9999746680259705, 0.5338676571846008, 0.5179922580718994, -0.381145179271698, 0.9999187588691711, 0.5425990223884583, 0.5178856253623962, -0.38158875703811646, 0.9999205470085144, 0.5498554706573486, 0.5178908109664917, -0.3815109431743622, 0.9999019503593445, 0.5068918466567993, 0.5179080963134766, -0.38818594813346863, 0.9999617338180542, 0.49602189660072327, 0.5185417532920837, -0.3887595236301422, 0.9999773502349854, 0.48591727018356323, 0.5189189910888672, -0.3890422582626343, 0.9999729990959167, 0.5467056632041931, 0.5260120630264282, -0.13030461966991425, 0.9999489188194275, 0.46550941467285156, 0.5275519490242004, -0.16260865330696106, 0.9999555945396423, 0.5370144844055176, 0.5831547379493713, -0.32088127732276917, 0.9998975396156311, 0.5007403492927551, 0.5865117311477661, -0.334092915058136, 0.9999242424964905, 0.617355227470398, 0.664203941822052, -0.0023302179761230946, 0.9996726512908936, 0.3920406699180603, 0.7065102458000183, -0.04963722079992294, 0.999537467956543, 0.6852362155914307, 0.8747356534004211, -0.1408221423625946, 0.5207324028015137, 0.31774166226387024, 0.918664813041687, -0.3432536721229553, 0.5333247780799866, 0.7164629697799683, 0.9785336256027222, -0.5409538745880127, 0.2947697341442108, 0.3354427218437195, 0.9284334182739258, -0.9178873896598816, 0.7583693265914917, 0.7607873678207397, 1.0309395790100098, -0.6291943192481995, 0.3664788603782654, 0.3321024775505066, 0.9533246755599976, -1.0582813024520874, 0.826407790184021, 0.7497621774673462, 1.008787751197815, -0.6858481764793396, 0.43674781918525696, 0.355601042509079, 0.9060216546058655, -1.082619309425354, 0.8672304749488831, 0.7184479236602783, 0.9909995198249817, -0.5724126100540161, 0.4330397844314575, 0.3621772229671478, 0.899904191493988, -0.9477511644363403, 0.837912380695343, 0.6012188792228699, 1.1156259775161743, 0.019272372126579285, 0.06194523721933365, 0.4462255835533142, 1.1232590675354004, -0.019741680473089218, 0.0707751139998436, 0.6179690957069397, 1.5148144960403442, -0.2212209701538086, 0.0021646018140017986, 0.4608405530452728, 1.5090508460998535, -0.40223249793052673, 0.005447239149361849, 0.6171366572380066, 1.870414137840271, -0.1271764487028122, 0.001131992437876761, 0.46925562620162964, 1.8740769624710083, -0.1539323925971985, 0.002076811855658889, 0.6282937526702881, 1.9246057271957397, -0.13396519422531128, 0.0024538005236536264, 0.4684048593044281, 1.930490255355835, -0.13855090737342834, 0.002762587508186698, 0.5748789310455322, 1.960493803024292, -0.4063192903995514, 0.0018576340517029166, 0.488487184047699, 1.9642914533615112, -0.3657386302947998, 0.002072107745334506]",0.523722231388092,1.1194425225257874
6,True,"[0.5199259519577026, 0.5445529222488403, -0.31555604934692383, 0.999973714351654, 0.5321992635726929, 0.5142191648483276, -0.2789514362812042, 0.9999160170555115, 0.5410172939300537, 0.5144587755203247, -0.2793504297733307, 0.9999175667762756, 0.548393726348877, 0.5148733258247375, -0.2792966663837433, 0.9998997449874878, 0.505928635597229, 0.5146998167037964, -0.2828895151615143, 0.99996018409729, 0.49537545442581177, 0.5156630277633667, -0.2835090756416321, 0.9999760985374451, 0.48558735847473145, 0.516219973564148, -0.2837921679019928, 0.9999719262123108, 0.546700656414032, 0.5229403376579285, -0.06591454148292542, 0.9999446868896484, 0.4668661057949066, 0.5242204666137695, -0.08391078561544418, 0.9999518394470215, 0.5356559753417969, 0.5732722878456116, -0.22955599427223206, 0.9998956322669983, 0.5001497864723206, 0.577396035194397, -0.23879548907279968, 0.9999225735664368, 0.6151925325393677, 0.6597687602043152, 0.021759605035185814, 0.9996890425682068, 0.3984503448009491, 0.6982923746109009, 0.00481919851154089, 0.9995665550231934, 0.6831950545310974, 0.8642228841781616, -0.09944029152393341, 0.5302448868751526, 0.3208409547805786, 0.9117259979248047, -0.22411897778511047, 0.5331882834434509, 0.7146514654159546, 0.9592961072921753, -0.3761816620826721, 0.3180006146430969, 0.34537261724472046, 0.9296139478683472, -0.6845985651016235, 0.768234372138977, 0.7587777376174927, 1.0177959203720093, -0.4389861524105072, 0.392556756734848, 0.3339501917362213, 0.9452192783355713, -0.7858120203018188, 0.8337445855140686, 0.7422995567321777, 0.9983451962471008, -0.49282583594322205, 0.4645921587944031, 0.3553540110588074, 0.9069640636444092, -0.815879225730896, 0.8730696439743042, 0.7079052329063416, 0.9810084104537964, -0.4028405547142029, 0.4598073363304138, 0.3645884692668915, 0.9022770524024963, -0.7107415795326233, 0.8448130488395691, 0.5991477370262146, 1.0962401628494263, 0.01887044683098793, 0.07115036994218826, 0.4485543370246887, 1.052186369895935, -0.01933007687330246, 0.08134206384420395, 0.6186563372612, 1.4873019456863403, -0.20361383259296417, 0.0020648872014135122, 0.4604088366031647, 1.473694920539856, -0.4063258171081543, 0.005253054201602936, 0.6152950525283813, 1.8335769176483154, -0.14883680641651154, 0.0010892500868067145, 0.46768680214881897, 1.833414077758789, -0.2352268248796463, 0.001974887680262327, 0.6256679892539978, 1.886200189590454, -0.16124963760375977, 0.0023430832661688328, 0.46673280000686646, 1.8858871459960938, -0.22632291913032532, 0.00262060621753335, 0.5747114419937134, 1.9162341356277466, -0.4024779796600342, 0.0017820649081841111, 0.4915921092033386, 1.921758770942688, -0.4270426630973816, 0.0019689868204295635]",0.5238510370254517,1.0742132663726807
7,True,"[0.5206385850906372, 0.5412238836288452, -0.3804861605167389, 0.9999748468399048, 0.5329145193099976, 0.5118889808654785, -0.34102264046669006, 0.9999187588691711, 0.5416865348815918, 0.5119457840919495, -0.34147173166275024, 0.9999204277992249, 0.5491119623184204, 0.5123379826545715, -0.3414153456687927, 0.99990314245224, 0.5060760378837585, 0.5127241611480713, -0.3480767607688904, 0.9999614357948303, 0.4958500862121582, 0.5137664675712585, -0.348676860332489, 0.9999768733978271, 0.4858373999595642, 0.5146098732948303, -0.3489845395088196, 0.9999726414680481, 0.5466452836990356, 0.5211303234100342, -0.10284014046192169, 0.9999457001686096, 0.46875491738319397, 0.5216684937477112, -0.1306721419095993, 0.999952495098114, 0.5364218354225159, 0.5694940090179443, -0.28312134742736816, 0.9999005794525146, 0.5003722906112671, 0.572518527507782, -0.2960529625415802, 0.9999262094497681, 0.6141741275787354, 0.6589561104774475, 0.008927040733397007, 0.9997053146362305, 0.40101104974746704, 0.6930245757102966, -0.009480929933488369, 0.9995912313461304, 0.68143230676651, 0.8538914918899536, -0.11040862649679184, 0.5628353953361511, 0.32372212409973145, 0.8928157091140747, -0.2868158519268036, 0.558722972869873, 0.7103227376937866, 0.9653646945953369, -0.4364188313484192, 0.37079286575317383, 0.3442454934120178, 0.9294068217277527, -0.790080189704895, 0.788121223449707, 0.7462071180343628, 1.0250221490859985, -0.5095119476318359, 0.44239941239356995, 0.33175915479660034, 0.9454163908958435, -0.8973444700241089, 0.8481383323669434, 0.7124233841896057, 1.0133345127105713, -0.5624599456787109, 0.5105199217796326, 0.3493017852306366, 0.9081659913063049, -0.9104762077331543, 0.8840972781181335, 0.690175473690033, 0.9890455007553101, -0.46356144547462463, 0.5051699280738831, 0.36369869112968445, 0.9035619497299194, -0.8111235499382019, 0.8582160472869873, 0.598403811454773, 1.0768458843231201, 0.01934201642870903, 0.09367754310369492, 0.45182114839553833, 1.0347611904144287, -0.019792836159467697, 0.10487133264541626, 0.6181789636611938, 1.455417275428772, -0.19233699142932892, 0.0023206728510558605, 0.45899567008018494, 1.450467824935913, -0.4045509397983551, 0.005646571516990662, 0.6149699687957764, 1.8014837503433228, -0.10455678403377533, 0.0011812503216788173, 0.4698731303215027, 1.8003631830215454, -0.208705872297287, 0.002087299944832921, 0.6232536435127258, 1.8541932106018066, -0.11223409324884415, 0.0023973307106643915, 0.4704958498477936, 1.8525782823562622, -0.1960376352071762, 0.0026838225312530994, 0.5780413150787354, 1.8882898092269897, -0.3871857821941376, 0.0019168509170413017, 0.4948609471321106, 1.8854397535324097, -0.4133983552455902, 0.002058219164609909]",0.5251124799251556,1.0558035373687744
8,True,"[0.5205904841423035, 0.5415088534355164, -0.40065258741378784, 0.999972939491272, 0.5325331091880798, 0.5120717883110046, -0.35873734951019287, 0.9999109506607056, 0.5413627028465271, 0.5119634866714478, -0.35920125246047974, 0.9999120235443115, 0.5486356019973755, 0.5122718214988708, -0.3591342270374298, 0.9998930096626282, 0.5064023733139038, 0.5130913853645325, -0.3672254681587219, 0.9999567866325378, 0.49613189697265625, 0.5138880610466003, -0.36778658628463745, 0.9999738335609436, 0.48610371351242065, 0.5145667791366577, -0.3680800795555115, 0.9999684691429138, 0.5461181402206421, 0.5210610628128052, -0.1137002483010292, 0.9999379515647888, 0.46915411949157715, 0.5212352275848389, -0.15137484669685364, 0.9999434947967529, 0.5362573266029358, 0.5696946382522583, -0.3019647002220154, 0.9998971223831177, 0.500873863697052, 0.5717968344688416, -0.3165754973888397, 0.9999224543571472, 0.6138893365859985, 0.6592413783073425, 0.00018463778542354703, 0.9997169971466064, 0.40161848068237305, 0.6869027614593506, -0.03652450069785118, 0.9996079206466675, 0.6802238821983337, 0.8481679558753967, -0.21781225502490997, 0.5958473086357117, 0.33129554986953735, 0.8701775670051575, -0.40420618653297424, 0.5808812975883484, 0.7057504653930664, 0.9592422246932983, -0.6989884972572327, 0.4235802888870239, 0.33952850103378296, 0.9286753535270691, -0.9857752919197083, 0.8055954575538635, 0.7261537313461304, 1.017032265663147, -0.8019367456436157, 0.49110284447669983, 0.3200559914112091, 0.9480050802230835, -1.1245211362838745, 0.860675573348999, 0.6981706023216248, 0.9928416609764099, -0.8507895469665527, 0.5544186234474182, 0.34232965111732483, 0.9291524887084961, -1.1473069190979004, 0.8936070799827576, 0.6822822093963623, 0.972640335559845, -0.7294232249259949, 0.5484530329704285, 0.3561404049396515, 0.918333888053894, -1.0133432149887085, 0.869685709476471, 0.5891429781913757, 1.0458070039749146, 0.02226261794567108, 0.14651165902614594, 0.44992533326148987, 1.0271227359771729, -0.02266605757176876, 0.1579669564962387, 0.6154049038887024, 1.4317575693130493, -0.18739329278469086, 0.002709482330828905, 0.45666345953941345, 1.4308063983917236, -0.40608686208724976, 0.006202413700520992, 0.6133700609207153, 1.7739261388778687, -0.07936979830265045, 0.0013235347578302026, 0.4689475893974304, 1.7664347887039185, -0.21553024649620056, 0.002242466202005744, 0.619883120059967, 1.8254393339157104, -0.08581645786762238, 0.0025045848451554775, 0.46893733739852905, 1.8166942596435547, -0.2074735462665558, 0.0027889451012015343, 0.5776240229606628, 1.8671553134918213, -0.3677142560482025, 0.002088559092953801, 0.4897504448890686, 1.852970838546753, -0.4506871700286865, 0.002156423404812813]",0.5195341557264328,1.0364648699760437
9,True,"[0.52042156457901, 0.541266679763794, -0.4649123251438141, 0.9999693036079407, 0.5322835445404053, 0.511971652507782, -0.41856175661087036, 0.9998950958251953, 0.5411352515220642, 0.5118534564971924, -0.4190690517425537, 0.9998956918716431, 0.5483861565589905, 0.512134850025177, -0.418987900018692, 0.9998708963394165, 0.5066576600074768, 0.5130221247673035, -0.42572006583213806, 0.9999490976333618, 0.4963468909263611, 0.5137078762054443, -0.42617034912109375, 0.9999693632125854, 0.48630109429359436, 0.5141503214836121, -0.4264345169067383, 0.9999623894691467, 0.5461772680282593, 0.5209966897964478, -0.17050352692604065, 0.9999237060546875, 0.4696933329105377, 0.5199875235557556, -0.20146529376506805, 0.9999339580535889, 0.5358926057815552, 0.5693344473838806, -0.36888641119003296, 0.9998906254768372, 0.5012320280075073, 0.570013701915741, -0.381824791431427, 0.99991774559021, 0.6121599078178406, 0.6595809459686279, -0.08105038851499557, 0.9997182488441467, 0.4008479714393616, 0.685289204120636, -0.11619540303945541, 0.9996277689933777, 0.6793614625930786, 0.8460785746574402, -0.3514726161956787, 0.626628041267395, 0.33706551790237427, 0.8610154390335083, -0.46999621391296387, 0.6109530329704285, 0.696274995803833, 0.9515467286109924, -0.8951207995414734, 0.4744122326374054, 0.3343985676765442, 0.9242813587188721, -1.0663849115371704, 0.8244755864143372, 0.7139260172843933, 1.0068583488464355, -1.0154459476470947, 0.5380458235740662, 0.30180561542510986, 0.9482133388519287, -1.2135038375854492, 0.874221920967102, 0.6842739582061768, 0.9862210154533386, -1.0637004375457764, 0.5962147116661072, 0.33252665400505066, 0.9428800344467163, -1.2429512739181519, 0.903948962688446, 0.6699925661087036, 0.9670254588127136, -0.9275869131088257, 0.5900863409042358, 0.3493965268135071, 0.935242235660553, -1.097458839416504, 0.8823082447052002, 0.5851393342018127, 1.0395427942276, 0.01939588226377964, 0.1893572360277176, 0.44903630018234253, 1.026930332183838, -0.019789787009358406, 0.20415639877319336, 0.6141310930252075, 1.4226462841033936, -0.19232586026191711, 0.002842977875843644, 0.4484068751335144, 1.4154884815216064, -0.3495221734046936, 0.006184160243719816, 0.6106516122817993, 1.7580264806747437, -0.06123370677232742, 0.0013842261396348476, 0.46825963258743286, 1.7453477382659912, -0.10217567533254623, 0.002253330545499921, 0.6155034899711609, 1.8082423210144043, -0.06363645941019058, 0.0025329517666250467, 0.46647077798843384, 1.79547917842865, -0.08946432173252106, 0.002831879537552595, 0.5761558413505554, 1.8525499105453491, -0.33507412672042847, 0.0021779912058264017, 0.4798777103424072, 1.8334394693374634, -0.3219781816005707, 0.0021448840852826834]",0.5170878171920776,1.033236563205719
